,,,,,,,,,,,,,,,,,,,,,,,,,6002,2,2,,,,,,,,
,,,,,,2,,,,,,,,,,,,,6002,0,,2,6002,,1,1,1,,6002,2,,,,,2
,,,,,318002,17001,17000,17000,17000,220000,17000,17000,17000,17000,17000,220000,17000,17002,17001,18000,,1,1,,,,,7002,1,1,,,,,1
,,,,2,117001,324001,,,5000,119000,,,,0,5000,119000,5002,1,1,117000,7000,7002,2,2,7002,2,2,1,1,,,,,,1
,,,,318001,118001,122001,,5000,319002,5002,2,2002,2,2,319002,5002,319001,1,1,218002,17000,17001,17001,17001,17001,17001,18001,1,1,,,,,,1
,,,,117001,1,122001,2,318000,20001,17001,17001,17001,17001,17001,20001,18001,117001,28001,318001,220001,17002,17000,220000,19001,1,1,117001,,,,,,4000,,1
,,,,117001,28001,223001,23001,117002,,,6002,2,,0,,120001,20001,220001,118001,120001,17001,220000,20002,18001,1,1,117001,,,,,2,2,2,1
,,,,218001,18001,1,122001,117001,6002,2,1,1,2,6002,,117001,4000,119001,,117000,7002,117002,1,119001,28001,1,117001,,,,,1,1,1,1
,,,,1,117001,1,122001,218001,17001,18001,1,1,1,1,,117001,,319001,7002,117000,1,119001,1,319001,1,318001,20001,17000,17000,17000,18000,,,1,
,,,,1,117001,1,122002,,0,117000,,,,,,117001,,117001,1,119002,0,319000,,117000,,117000,,,,,117000,,,1,
,,,,1,117001,224001,123001,2002,8002,117002,2,7002,7002,2,2,117001,,117001,1,319001,7002,117002,2,117002,8002,117002,2,2,4002,2,117002,2,2002,1,
,,,,318001,20001,17001,17001,17001,17001,20001,17001,17001,17001,17001,17001,118001,,218001,17001,20001,17001,20001,17001,20001,17001,320001,224001,23001,1,1,117001,1,1,1,
,,,,117001,1,1,1,27001,1,1,1,1,1,318001,17001,17001,17000,17001,17001,18001,1,1,1,,,117000,,122001,,,117000,1,,,
,,,,117001,1,1,1,1,1,1,1,318001,17001,118001,224001,23001,0,323001,24001,117001,1,1,1,,,117000,,122002,,,117000,1,,,
,,,,117001,1,1,1,1,1,1,,117000,27000,,,122000,,122000,,117000,,,,,,117000,27000,122001,2,,117000,27001,,,
,,,,117001,1,1,1,1,1,,,117000,,,,122000,,122000,4000,117000,,,,,,117000,,223001,24001,,117002,1,,,
,,,,117001,1,1,1,,,,0,117002,2,2,2,122002,,122002,2,117002,2,8002,2002,2,2,117002,2,2,2,2,117001,1,,,
318001,17000,17000,17000,218001,17001,17001,17001,17000,17000,17002,17002,20001,17001,18001,224001,123001,0,223001,24001,117001,1,1,1,1,1,120001,17001,17001,17001,17001,118001,1,,,
117001,,,,1,1,1,27001,2,,1,27001,1,,218001,17001,17001,17000,17001,17001,118001,1,1,,0,,117000,,,,,,,,,
117001,,,,1,27001,1,1,1,2,,0,1,,,,1,0,0,,309001,309001,309001,,0,,117000,,,,,,,,,
117001,,,,1,1,1,1,1,1,,2,1,0,2002,2,2,2,2,8002,309001,309001,309001,,0,,117000,,,,,,,,,
117001,2,1002,4002,1,3002,2,2,2,2,2,1,323001,22002,22001,22001,22001,22001,22001,22001,22001,22001,22001,22001,23001,,117000,,,,,,,,,
117001,1,1,1,1,1,1,1,1,27001,1,1,223001,22001,22001,22001,22001,22001,22001,22001,22001,22001,22001,22001,123001,,117000,,,,,,,,,
218000,17000,17000,17000,17001,17001,17001,17001,17001,17001,17001,17001,17001,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,118000,,,,,,,,,
,,,,,,,,,,,,1,,0,,,,0,,,,,,0,,,,,,,,,,,
