,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,32002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32002,,,2,,,2,,,2,0,318000,17000,17001,17001,17001,17001,18001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,16411,117002,,,4000,,0,117001,,,0,,,,,,,,,,,,,,,1,2,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,1,1,117001,2,,2,2,2002,117001,0,0,0,,,,,,,,,,,,,,,0,1,,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,7000,,,7000,5000,,,,,7000,5000,2,,,,117001,224001,22002,22001,24001,109001,218001,17000,18000,0,0,4000,,,7000,,7000,0,,,,,,,,0,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,16009,2,,,,,,,,,2,,,2,,,0,5000,2,2,,1,,2,,120001,17001,17001,17001,17001,17001,18001,319000,218000,17000,19000,319000,0,7000,,9,16002,2,16002,,,,,,2,,1,0,1
,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,4000,,,,,6000,16009,7,8,209001,,,,,,,7000,11,1,,,1,,,2,,1,1,,,,1,411,117002,,209001,,,324001,117000,120000,17000,18000,2,117002,16002,2,16007,8,1,1,309001,,,,,,1,2,,,1
,,,,,,,,,,,,,,,4000,,7000,,6000,,,7000,,,,,,7000,,,6000,,7000,,,,,6000,16009,7,8,1,1,1,,,,,,,11,1,1,,,,,,1,,,,,,,1,1,117001,,,,,122001,117000,119000,2002,117002,209001,117001,1,319001,1,1,319001,1,1,,,,,,0,1,,2,1
,,,,,,,,,,3000,,,,,,9,16002,409,,,09,16002,2,,7000,,9,2,2,,,,2,,7000,,16009,7,8,1,1,1,1,1,,,,0,0,11,1,1,1,,,,,,,,,,,,,,,117001,,,,,122001,120000,17000,18001,117001,0,117000,1,117001,0,0,117000,1,1,,,,,,,,2,1,
0,0,0,0,0,0,0,0,16002,2,16002,2,16002,2, ,7,8,1,408,407,07,08,1,1,411,16002,7,8,1,1,16411,2,,1,,16002,7,8,1,1,1,1,1,1,1,,,4000,0,11,1,1,1,1,,7000,,,7000,,7000,,,7000,,7000,,,117001,,0,,,122001,218000,17000,320000,117000,0,117000,7000,120000,17000,17000,118000,0,1,2,2,2,2,2,2,2,1,,
0,0,0,0,0,0,0,0,1,1,1,1,224001,22001,22411,22001,24001,1,1,1,1,1,1,1,1,1,1,1,1,1,323001,22001,22411,22001,22011,22001,23001,1,1,1,1,1,1,1,1,8002,2,2,11,324001,0,2,2,2,2,16002,2,16002,2,16002,2,16002,2,16002,2,16002,2,16002,117001,2,8002,2,0,122001,,0,117000,120000,17000,20000,17000,118000,,7000,,,,1,1,1,1,1,1,1,,,
,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,124001,1,1,1,1,1,124001,1,1,1,1,1,1,1,1,1,1,1,1,223001,22011,22001,22001,24001,1,1,1,309001,1,1,309001,1,1,309001,1,1,1,1,117001,224001,22001,22001,22411,123001,2002,2,119000,117000,7002,0,2,,,2,2,1002,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,0,,,,0,0,,0,0,0,,,,218001,17001,17001,17001,18001,1,1,1,0,117000,1,0,1,,,1,1,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,117000,,,,,117000,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218000,17000,17000,17000,17000,118000,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
